TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
E;R103;25;10;0.1;3600.08;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;587.6;543.5;44.1;0.0751
E;R104;25;10;0.1;3600.2;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;574.9;514.2;60.7;0.1056
E;R105;25;10;0.1;2.06;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;673.7;673.7;0;0
E;R106;25;10;0.1;214.69;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;597;597;0;0
E;R107;25;10;0.1;3600.06;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;605.1;547.2;57.9;0.0957
E;R108;25;10;0.1;3600.34;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;592.4;508.6;83.8;0.1415
E;R109;25;10;0.1;44.44;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;618.5;618.5;0;0
E;R110;25;10;0.1;3600.08;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;606;549.4;56.6;0.0934
E;R111;25;10;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;594.7;564.4;30.3;0.0509
E;R112;25;10;0.1;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;572.2;445.3;126.9;0.2218
E;R201;25;10;0.1;3.53;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;645.8;645.8;0;0
E;R202;25;10;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;521.6;502.5;19.1;0.0366
E;R203;25;10;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;564.9;508.7;56.2;0.0995
E;R204;25;10;0.1;3600.07;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;549.4;440.4;109;0.1984
E;R205;25;10;0.1;68.55;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;562.9;562.9;0;0
E;R206;25;10;0.1;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;536.5;509.1;27.4;0.0511
E;R207;25;10;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;557.6;463.7;93.9;0.1684
E;R208;25;10;0.1;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;435;405.7;29.3;0.0674
E;R209;25;10;0.1;72.74;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;503.8;503.8;0;0
E;R210;25;10;0.1;874.05;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;547.2;547.2;0;0
E;R211;25;10;0.1;3600.05;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;471.6;405.4;66.2;0.1404
E;RC101;25;10;0.1;3.08;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;604;604;0;0
E;RC102;25;10;0.1;3600;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;572.5;565;7.5;0.0131
E;RC103;25;10;0.1;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;560.5;453.9;106.6;0.1902
