TEST BATCH;INSTANCE;NUMBER CUSTOMERS;GAMMAT;DEVIATIONT;RUNTIME;RESULT;RESULT DESCRIPTION;INCUMBENT;BEST BOUND;MIP ABSOLUTE GAP;MIP RELATIVE GAP
F;R101;25;0;0;0.77;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;824.7;824.7;0;0
F;R102;25;0;0;38.53;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;703.6;703.6;0;0
F;R103;25;0;0;3335.77;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;580.6;580.6;0;0
F;R104;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;575.5;521.4;54.1;0.094
F;R105;25;0;0;1.33;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;673.2;673.2;0;0
F;R106;25;0;0;80.32;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;577.3;577.3;0;0
F;R107;25;0;0;3600.01;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;601.9;555.6;46.3;0.0769
F;R108;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;567;516.9;50.1;0.0884
F;R109;25;0;0;8.8;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;616.8;616.8;0;0
F;R110;25;0;0;3600;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;593.7;529.7;64;0.1078
F;R111;25;0;0;340.03;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;573.1;573.1;0;0
F;R112;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;547.6;456.4;91.2;0.1665
F;R201;25;0;0;2.44;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;645.8;645.8;0;0
F;R202;25;0;0;1471.07;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;521.6;521.6;0;0
F;R203;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;564.9;517;47.9;0.0848
F;R204;25;0;0;3600.03;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;507.2;442;65.2;0.1285
F;R205;25;0;0;33.11;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;562.2;562.2;0;0
F;R206;25;0;0;1216.41;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;528;528;0;0
F;R207;25;0;0;3600.02;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;533.1;467.4;65.7;0.1232
F;R208;25;0;0;3600.04;TIME_LIMIT;Optimization terminated because the time expended exceeded the value specified in the TimeLimit parameter.;428.8;407.5;21.3;0.0497
F;R209;25;0;0;30.56;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;503.8;503.8;0;0
F;R210;25;0;0;283.07;OPTIMAL;Model was solved to optimality (subject to tolerances), and an optimal solution is available.;547.2;547.2;0;0
